Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
101,New Super Mario Bros. Wii,Wii,2009.0,Platform,8.6,9.2,Nintendo  ,Nintendo EAD  ,14.53,7.01,4.7,2.27,28.51
102,Tetris,GB,1989.0,Puzzle,,,Nintendo  ,Bullet Proof Software  ,23.2,2.26,4.22,0.58,30.26
103,Call of Duty: Black Ops,All,2010.0,Shooter,,,Activision  ,Treyarch  ,,,,,
104,Call of Duty: Modern Warfare,All,2019.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
105,Call of Duty: Modern Warfare 3,All,2011.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
106,Command & Conquer,Series,1995.0,Strategy,,,Electronic Arts  ,Westwood Studios  ,,,,,
107,Diablo III,All,2015.0,Role-Playing,,,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,
108,James Bond,Series,1983.0,Action-Adventure,,,Parker Bros.  ,Richard Shepherd Software  ,,,,,
109,Mario & Sonic at the Olympic Games,Series,2007.0,Sports,,,Sega  ,Sega  ,,,,,
110,The Elder Scrolls V: Skyrim,All,2011.0,Role-Playing,,,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,
111,The Last of Us,Series,2013.0,Action-Adventure,,,Sony Computer Entertainment  ,Naughty Dog  ,,,,,
112,Wii Play,Series,2007.0,Party,,,Nintendo  ,Nintendo  ,,,,,
113,Super Smash Bros. Ultimate,NS,2018.0,Fighting,9.4,9.7,Nintendo  ,Bandai Namco Games  ,4.22,1.72,2.41,0.61,8.95
114,Nintendogs,Series,2005.0,Simulation,,,Nintendo  ,Nintendo  ,,,,,
115,Duck Hunt,NES,1985.0,Shooter,,,Nintendo  ,Nintendo R&D1  ,26.93,0.63,0.28,0.47,28.31
116,Naruto: Ultimate Ninja,Series,2006.0,Fighting,,,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,
117,Wii Play,Wii,2007.0,Misc,5.9,4.5,Nintendo  ,Nintendo EAD  ,13.96,9.18,2.93,2.85,28.92
118,Farming Simulator,Series,2008.0,Simulation,,,Astragon  ,Giants Software  ,,,,,
119,The Legend of Zelda: Breath of the Wild,NS,2017.0,Action-Adventure,9.9,10.0,Nintendo  ,Nintendo EPD  ,4.54,2.94,1.26,0.73,9.46
120,Tales of,Series,1998.0,Role-Playing,,,Namco  ,Bandai Namco Studios  ,,,,,
121,Grand Theft Auto: San Andreas,All,2004.0,Action-Adventure,,,Rockstar Games  ,Rockstar North  ,,,,,
122,Yoshi,Series,1992.0,Platform,,,Nintendo  ,Nintendo  ,,,,,
123,Ratchet & Clank,Series,2002.0,Shooter,,,Sony Computer Entertainment  ,Insomniac Games  ,,,,,
124,Portal,Series,2007.0,Puzzle,,,Valve  ,Valve  ,,,,,
125,Borderlands 2,All,2012.0,Shooter,,,2K Games  ,Gearbox Software  ,,,,,
126,Devil May Cry,Series,2001.0,Action,,,Capcom  ,Capcom  ,,,,,
127,FIFA 18,All,2017.0,Sports,,,Electronic Arts  ,EA Vancouver  ,,,,,
128,Splatoon,Series,2015.0,Shooter,,,Nintendo  ,Nintendo  ,,,,,
129,Rayman,Series,1995.0,Platform,,,Ubisoft  ,Ubisoft  ,,,,,
130,Pokémon Sword / Shield,NS,2019.0,Role-Playing,,,Nintendo  ,Game Freak  ,,,,,
131,Dying Light,Series,2015.0,Action-Adventure,,,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,
132,Grand Theft Auto IV,All,2008.0,Action-Adventure,,,Rockstar Games  ,Rockstar North  ,,,,,
133,Human: Fall Flat,All,2016.0,Platform,,,Curve Digital  ,No Brakes Games  ,,,,,
134,Puyo Puyo,Series,2002.0,Puzzle,,,THQ  ,Compile  ,,,,,
135,Tiger Woods PGA Tour,Series,1998.0,Sports,,,EA Sports  ,EA Redwood Shores  ,,,,,
136,Batman: Arkham,Series,2009.0,Action-Adventure,,,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,
137,Super Mario Odyssey,NS,2017.0,Platform,9.9,,Nintendo  ,Nintendo EPD  ,5.1,3.75,2.02,0.84,11.71
138,Jikkyo Powerful Pro Yakyu,Series,1994.0,Sports,,,Konami  ,Konami  ,,,,,
139,Kinect Adventures!,X360,2010.0,Party,6.7,,Microsoft Game Studios  ,Good Science Studio  ,15.09,4.97,0.24,1.81,22.1
140,Petz,Series,1995.0,Simulation,,,PF.Magic  ,PF Magic  ,,,,,
141,Nintendogs,DS,2005.0,Simulation,8.4,,Nintendo  ,Nintendo EAD  ,9.05,10.96,1.93,2.74,24.68
142,Mario Kart DS,DS,2005.0,Racing,9.1,9.4,Nintendo  ,Nintendo EAD  ,9.71,7.51,4.13,1.91,23.26
