Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
14582,Mind Quiz,PSP,2006.0,Action,,,Ubisoft  ,Sega  ,0.08,0.01,,0.01,0.09
14583,Bloody Roar 4,PS2,2003.0,Fighting,,,Hudson Soft  ,Eighting/Raizing  ,0.05,0.04,,0.01,0.09
14584,Let's Ride! Silver Buckle Stables,PS2,2006.0,Sports,,,THQ  ,Coresoft  ,0.05,0.04,,0.01,0.09
14585,Cabela's Big Game Hunter,GBA,2002.0,Sports,,,10TACLE Studios  ,ImageBuilder Software  ,0.07,0.02,,0.0,0.09
14586,I-Ninja,GC,2003.0,Platform,7.2,,Namco  ,Argonaut Games  ,0.07,0.02,,0.0,0.09
14587,Earth Defense Force 2: Invaders from Planet Space,PSV,2015.0,Action,,,Xseed Games  ,Sandlot  ,0.04,0.0,0.04,0.01,0.09
14588,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010.0,Sports,,,Konami  ,Konami  ,,,0.09,,0.09
14589,Alvin and the Chipmunks: Chipwrecked,Wii,2011.0,Misc,,,Majesco  ,Behaviour Interactive  ,0.07,0.01,,0.01,0.09
14590,Dragon Tales: Dragon Seek,PS,2000.0,Platform,,,NewKidCo  ,Zed Two Limited  ,0.05,0.03,,0.01,0.09
14591,Burnout Paradise: The Ultimate Box,PC,2009.0,Racing,,,Electronic Arts  ,Criterion Games  ,,0.09,,0.01,0.09
14592,Yourself Fitness,XB,2004.0,Sports,,,responDESIGN  ,"responDESIGN, Inc.  ",0.07,0.02,,0.0,0.09
14593,Tak: The Great Juju Challenge,DS,2005.0,Platform,,,THQ  ,Avalanche Software  ,0.09,,,0.01,0.09
14594,Jimmie Johnson's Anything With an Engine,X360,2011.0,Racing,7.3,,Konami  ,Isopod Labs  ,0.08,,,0.01,0.09
14595,Generator Rex: Agent of Providence,Wii,2011.0,Action,,,Activision  ,Virtuos  ,0.07,0.01,,0.01,0.09
14596,Angry Birds: Star Wars,PSV,2013.0,Puzzle,,,Activision  ,Exient Entertainment  ,0.03,0.04,,0.02,0.09
14597,echochrome,PSP,2008.0,Puzzle,7.6,,Sony Computer Entertainment  ,SCE Japan Studio  ,,0.01,0.08,0.0,0.09
14598,Yaiba: Ninja Gaiden Z,PS3,2014.0,Misc,,,Tecmo Koei  ,Unknown  ,0.05,0.03,,0.02,0.09
14599,Halo 2,PC,2007.0,Shooter,6.9,,Microsoft Game Studios  ,Hired Gun  ,0.01,0.06,,0.01,0.09
14600,NHL 2K8,PS3,2007.0,Sports,,,2K Sports  ,Kush Games  ,0.08,0.01,,0.01,0.09
14601,MotoGP 14,X360,2014.0,Racing,,,Namco Bandai Games  ,Milestone S.r.l.  ,0.05,0.03,,0.01,0.09
14602,Resident Evil Chronicles HD,PS3,2012.0,Shooter,,,Capcom  ,Capcom  ,,,0.09,,0.09
14603,Return Fire,PS,1996.0,Strategy,,,Time Warner Interactive  ,Silent Software Inc.  ,0.05,0.03,,0.01,0.09
14604,Wild ARMs: Alter Code F,PS2,2005.0,Role-Playing,7.2,,Agetec  ,Media.Vision  ,0.05,0.04,,0.01,0.09
14605,Bomberman Max 2: Blue Advance,GBA,2002.0,Puzzle,7.3,,Majesco  ,Hudson Soft  ,0.07,0.02,,0.0,0.09
14606,Angry Birds: Rio,PC,2011.0,Puzzle,,,Focus Home Interactive  ,Rovio Mobile  ,,0.07,,0.02,0.09
14607,Castlevania: Lords of Shadow 2,X360,2014.0,Action-Adventure,,,Konami Digital Entertainment  ,Mercury Steam  ,0.02,0.06,,0.01,0.09
14608,Digimon All-Star Rumble,PS3,2014.0,Fighting,,,Namco Bandai Games  ,PROPE  ,0.06,0.02,,0.02,0.09
14609,Singstar: Ultimate Party,PS3,2014.0,Music,,,Sony Computer Entertainment Europe  ,London Studios  ,,0.08,,0.01,0.09
14610,Kawasaki Quad Bikes,Wii,2007.0,Racing,,,Destineer  ,Data Design Interactive  ,0.07,0.01,,0.01,0.09
14611,Alien Monster Bowling League,Wii,2009.0,Sports,,,Destineer  ,Perpetual FX Creative  ,0.09,,,0.01,0.09
14612,Ben 10 Galactic Racing,PS3,2011.0,Racing,,,D3 Publisher  ,Monkey Bar Games  ,0.06,0.02,,0.01,0.09
14613,Shrek SuperSlam,XB,2005.0,Action,,,Activision  ,Shaba Games  ,0.07,0.02,,0.0,0.09
14614,Rugby League Live 4,PS4,2017.0,Sports,,,Tru Blu Entertainment  ,Big Ant Studios  ,,0.08,,0.01,0.09
14615,Mimana Iyar Chronicle,PSP,2010.0,Role-Playing,,,Aksys Games  ,"Kogado Studio, Inc.  ",0.07,,0.01,0.01,0.09
14616,Rapid Reload,PS,1995.0,Shooter,,,Sony Computer Entertainment  ,Media.Vision  ,,,0.09,0.01,0.09
14617,New Legends,XB,2002.0,Action,,,THQ  ,Infinite Machine  ,0.07,0.02,,0.0,0.09
14618,Raiden Fighters Aces,X360,2009.0,Shooter,,,Valcon Games  ,Gulti  ,0.06,0.03,,0.01,0.09
14619,Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005.0,Shooter,,,Eidos Interactive  ,Deadline Games  ,0.04,0.04,,0.01,0.09
14620,Island Xtreme Stunts,PS2,2002.0,Action,,,Electronic Arts  ,Silicon Dreams  ,0.04,0.03,,0.01,0.09
14621,Hearts of Iron III,PC,2009.0,Strategy,7.9,,Paradox Interactive   ,Paradox Interactive  ,0.04,0.04,,0.01,0.09
14622,Agassi Tennis Generation,PS2,2003.0,Sports,,,DreamCatcher Interactive  ,Aqua Pacific  ,0.04,0.03,,0.01,0.09
14623,Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009.0,Role-Playing,,,Aspyr  ,Big Blue Bubble  ,0.08,,,0.01,0.09
14624,Metal Slug X,PS,2001.0,Shooter,,,Agetec  ,ProSoft  ,0.05,0.03,,0.01,0.09
14625,GripShift,PSP,2005.0,Racing,7.1,,Sony Computer Entertainment  ,Sidhe Interactive  ,0.08,0.0,,0.01,0.09
14626,Junior Mystery Quest,DS,2011.0,Puzzle,,,Unknown  ,Navarre Corp  ,0.07,0.01,,0.01,0.09
14627,Running Wild,PS,1998.0,Racing,,,Sony Computer Entertainment  ,Blue Shift  ,0.05,0.03,,0.01,0.09
14628,Invizimals: The Alliance,PSV,2014.0,Action-Adventure,,,Sony Computer Entertainment  ,Novarama  ,0.0,0.07,,0.02,0.09
14629,Jenga World Tour,DS,2007.0,Misc,,,Atari  ,Atomic Planet Entertainment  ,0.08,0.0,,0.01,0.09
14630,Romance of the Three Kingdoms X,PS2,2005.0,Strategy,,,KOEI  ,Koei  ,0.04,0.03,,0.01,0.09
14631,Brigandine: The Legend of Forsena,PS,1998.0,Strategy,,,Atlus  ,Hearty Robin  ,0.05,0.03,,0.01,0.09
14632,U-Sing 2,Wii,2010.0,Misc,,,Mindscape  ,Mindscape Inc.  ,,0.08,,0.01,0.09
14633,MX SuperFly featuring Ricky Carmichael,GC,2002.0,Racing,,,THQ  ,Pacific Coast Power & Light  ,0.07,0.02,,0.0,0.09
14634,Disney's The Haunted Mansion,XB,2003.0,Platform,,,TDK Mediactive  ,High Voltage Software  ,0.07,0.02,,0.0,0.09
14635,Sound Novel Machi,SAT,1998.0,Adventure,,,ChunSoft  ,ChunSoft  ,,,0.09,0.0,0.09
14636,American Truck Simulator,PC,2016.0,Simulation,,,SCS Software  ,SCS Software  ,,0.09,,0.01,0.09
14637,Bass Pro Shops: The Hunt,X360,2010.0,Sports,,,Griffin International  ,Piranha Games  ,0.08,,,0.01,0.09
14638,Go Play: City Sports,Wii,2009.0,Sports,,,Majesco  ,Digital Embryo  ,0.08,,,0.01,0.09
14639,The Daring Game for Girls,Wii,2010.0,Adventure,,,Majesco  ,WXP  ,0.09,,,0.01,0.09
14640,FIFA 2001: Major League Soccer,PS2,2000.0,Sports,,,EA Sports  ,EA Canada  ,,,0.09,,0.09
14641,Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007.0,Sports,,,Konami  ,PawaPuro Production  ,,,0.09,,0.09
14642,Riviera: The Promised Land,PSP,2007.0,Role-Playing,,,Atlus  ,Sting  ,0.07,0.0,0.02,0.01,0.09
14643,Super Street Fighter II Turbo,3DO,1994.0,Fighting,,,Panasonic Interactive Media  ,Capcom  ,,,0.09,,0.09
14644,Skies of Arcadia,DC,2000.0,Role-Playing,9.2,,Sega  ,Overworks  ,,,0.09,,0.09
14645,Toy Soldiers: War Chest,PS4,2015.0,Action,,,Ubisoft  ,Signal Studios  ,0.07,,,0.02,0.09
14646,God Eater Resurrection,PS4,2016.0,Action,,,Namco Bandai Games  ,Namco Bandai Games  ,,,0.09,,0.09
14647,NASCAR: Dirt to Daytona,GC,2002.0,Racing,,,Infogrames  ,Monster Games Inc.  ,0.07,0.02,,0.0,0.09
14648,Demon Chaos,PS2,,Action,,,Unknown  ,Genki  ,,,0.09,,0.09
14649,Road Trip,PS2,2002.0,Racing,,,Conspiracy Entertainment  ,E-game  ,0.04,0.03,,0.01,0.09
14650,Blood of Bahamut,DS,2009.0,Role-Playing,,,Square Enix  ,Square Enix  ,,,0.09,,0.09
14651,Challenge Me: Brain Puzzles 2,DS,2010.0,Puzzle,,,O-Games  ,O Games  ,0.05,0.04,,0.01,0.09
14652,Just Dance Wii U,WiiU,2014.0,Misc,,,Nintendo  ,Unknown  ,,,0.09,,0.09
14653,Major League Baseball 2K11,DS,2011.0,Sports,,,2K Sports  ,Visual Concepts  ,0.08,,,0.01,0.09
14654,Tom Clancy's EndWar,DS,2008.0,Strategy,,,Ubisoft  ,Funatics Software  ,0.08,0.01,,0.01,0.09
14655,Puchi Puchi Virus,DS,2009.0,Puzzle,7.4,,NIS America  ,Keys Factory  ,0.08,,,0.01,0.09
14656,Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010.0,Misc,,,Konami  ,Konami  ,,,0.09,,0.09
14657,Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2,2001.0,Role-Playing,,,Gust  ,Gust  ,,,0.09,,0.09
14658,Animal Planet: Vet Life,Wii,2009.0,Simulation,,,Activision  ,Activision  ,0.08,0.0,,0.01,0.09
14659,Top Gun: Firestorm Advance,GBA,2002.0,Shooter,,,Titus  ,Titus Software  ,0.07,0.02,,0.0,0.09
14660,Wonder World Amusement Park,DS,2009.0,Misc,,,Majesco  ,Coyote Console  ,0.08,0.0,,0.01,0.09
14661,NERF N-Strike: Double Blast Bundle,Wii,2010.0,Shooter,,,Electronic Arts  ,EA Salt Lake  ,0.09,,,0.01,0.09
14662,The Wolf Among Us,PS3,2014.0,Adventure,,,Telltale Games  ,Telltale Games  ,0.05,0.02,,0.02,0.09
14663,Project Eden,PS2,2001.0,Action,,,Eidos Interactive  ,Core Design Ltd.  ,0.04,0.03,,0.01,0.09
14664,Persona 4 Arena Ultimax,X360,2014.0,Fighting,,,Atlus  ,Arc System Works  ,0.07,0.01,,0.01,0.09
14665,Dark Souls Trilogy,PS4,2018.0,Role-Playing,,,Bandai Namco Entertainment  ,From Software  ,0.07,,0.01,0.02,0.09
14666,JASF: Jane's Advanced Strike Fighters,X360,2011.0,Simulation,,,Unknown  ,Trickstar Games  ,0.06,0.02,,0.01,0.09
14667,Def Jam Fight For NY: The Takeover,PSP,2006.0,Action,8.0,,Electronic Arts  ,Aki Corp  ,0.08,0.0,,0.01,0.09
14668,Dynasty Warriors 8: Empires,PS3,2015.0,Misc,,,Tecmo Koei  ,Unknown  ,,,0.09,,0.09
14669,Pro Yakyuu Spirits 2014,PSP,2014.0,Sports,,,Konami Digital Entertainment  ,Konami  ,,,0.09,,0.09
14670,Back to the Future: The Game,PS3,2011.0,Adventure,,,Telltale Games  ,Telltale Games  ,0.07,0.01,,0.01,0.09
14671,Ghosthunter,PS2,2004.0,Action,,,Namco  ,SCEE Cambridge  ,0.04,0.03,,0.01,0.09
14672,The Amazing Spider-Man (2012),WiiU,2013.0,Action-Adventure,6.0,,Activision  ,Beenox  ,0.05,0.04,,0.01,0.09
14673,Last Rebellion,PS3,2010.0,Role-Playing,4.8,,NIS America  ,Hit Maker  ,0.06,0.01,0.01,0.01,0.09
14674,Seven: Molmorth no Kiheitai,PS2,2000.0,Action,,,Namco  ,Namco  ,,,0.09,,0.09
14675,Doraemon: Nobita to Midori no Kyojinden DS,DS,2008.0,Platform,,,Sega  ,Inti Creates  ,,,0.09,,0.09
14676,Beyblade Evolution,3DS,2013.0,Action,,,D3 Publisher  ,Rising Star Games  ,0.06,0.02,,0.01,0.09
14677,Hello Kitty's Cube Frenzy,PS,1999.0,Puzzle,,,NewKidCo  ,Culture Publishers  ,0.05,0.03,,0.01,0.09
14678,Lock's Quest,DS,2008.0,Strategy,,,THQ  ,5TH Cell  ,0.08,0.0,0.0,0.01,0.09
14679,Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010.0,Action,,,Warner Bros. Interactive  ,Krome Studios  ,0.07,0.01,,0.01,0.09
14680,Obscure: The Aftermath,PSP,2009.0,Adventure,6.5,,Playlogic Game Factory  ,Hydravision Entertainment  ,0.05,0.03,,0.01,0.09
14681,The Seven Deadly Sins: Unjust Sin,3DS,2015.0,Adventure,,,Namco Bandai Games  ,Namco Bandai Games  ,,,0.09,,0.09
14682,Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002.0,Sports,,,Konami  ,Diamond Head  ,,,0.09,,0.09
14683,Astro Boy: Omega Factor,GBA,2004.0,Action,8.8,,Sega  ,Hitmaker  ,0.06,0.02,,0.0,0.09
14684,Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010.0,Misc,,,Hudson Soft  ,Xing Inc.  ,,,0.09,,0.09
14685,Spectral Force Genesis,DS,2010.0,Role-Playing,,,Ignition Entertainment  ,Neverland Company  ,0.08,,0.01,0.01,0.09
14686,Fullmetal Alchemist: Dual Sympathy,DS,2006.0,Role-Playing,,,Destineer  ,Bandai  ,0.05,0.0,0.04,0.0,0.09
14687,Cardfight!! Vanguard: Ride to Victory!!,3DS,2013.0,Strategy,,,FuRyu Corporation  ,FuRyu  ,,,0.09,,0.09
14688,Brain Age: Concentration Training,3DS,2013.0,Education,7.5,,Nintendo  ,Nintendo  ,0.08,,,0.01,0.09
14689,Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007.0,Sports,,,Konami  ,PawaPuro Productions  ,,,0.09,,0.09
14690,Tornado Outbreak,PS3,2009.0,Action,,,Konami  ,Loose Cannon Studios  ,0.08,0.0,,0.01,0.09
14691,Import Tuner Challenge (American sales),X360,2006.0,Racing,6.4,,Ubisoft  ,Genki  ,0.07,0.01,,0.01,0.09
14692,Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,2006.0,Misc,,,Sega  ,Sega  ,,,0.09,,0.09
14693,Rugby 2005,PS2,2005.0,Sports,,,EA Sports  ,HB Studios Multimedia  ,0.04,0.03,,0.01,0.09
14694,Ochaken no Heya DS 2,DS,2007.0,Simulation,,,MTO  ,MTO  ,,,0.09,,0.09
14695,Batman Beyond: Return of the Joker,N64,2000.0,Action,2.0,,Ubisoft  ,Kemco  ,0.07,0.02,,0.0,0.09
14696,Castlevania Dracula X,SNES,1995.0,Platform,,,Konami  ,Konami  ,0.03,0.01,0.05,,0.09
14697,Egg Monster Hero,DS,,Role-Playing,,,Unknown  ,Neverland  ,,,0.09,,0.09
14698,Golden Nugget 64,N64,1998.0,Misc,,,Electronic Arts  ,Westwood Studios  ,0.07,0.02,,0.0,0.09
14699,Hanjuku Eiyuu 4: 7-Jin no Hanjuku Eiyuu,PS2,2005.0,Role-Playing,,,Square Enix  ,Square Enix  ,,,,,
14700,Hatsune Miku: Project Diva,PSP,2009.0,Misc,,,Sega  ,Sega  ,,,0.26,,0.26
14701,Kyoto Daigaku Atsuji Tetsuji Kyouju Kanshuu: Zaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai Kyouryoku: Kanji Trainer Portable,PSP,2006.0,Misc,,,Sega  ,Sega  ,,,,,
14702,Pompei: The Legend of Vesuvius,All,2000.0,Adventure,,,Cryo Interactive  ,Arxel Tribe  ,,,,,
14703,Ridge Racer 3D,3DS,2011.0,Racing,7.4,,Namco Bandai  ,Namco Bandai Games  ,0.19,0.16,0.12,0.03,0.5
14704,Robotron 64,N64,1998.0,Shooter,,,Crave Entertainment  ,Player 1  ,0.07,0.02,,0.0,0.09
14705,Saikyou Habu Shogi,N64,1996.0,Misc,,,Seta Corporation  ,Seta Corporation  ,,,0.06,0.03,0.09
14706,Shin Megami Tensei: Devil Summoner: Soul Hackers,3DS,2013.0,Role-Playing,,,Atlus  ,Atlus  ,0.14,0.03,0.14,0.02,0.33
14707,V-Rally Edition 99,N64,1999.0,Racing,,,Infogrames  ,Eden Studios  ,0.07,0.02,,0.0,0.09
14708,Playmobil Circus,Wii,2009.0,Action,,,DreamCatcher Interactive  ,Morgen Studios  ,0.06,0.02,,0.01,0.09
14709,Quantum Theory,X360,2010.0,Shooter,,,Tecmo Koei  ,Team Tachyon  ,0.06,0.02,0.0,0.01,0.09
14710,The X-Factor,X360,2010.0,Misc,,,Deep Silver  ,Deep Silver  ,,0.08,,0.01,0.09
14711,Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006.0,Role-Playing,,,Takara Tomy   ,Takara Tomy  ,,,0.09,,0.09
14712,Pro Evolution Soccer 2012,PC,2011.0,Sports,7.0,,Konami  ,Konami  ,,0.07,,0.02,0.09
14713,NASCAR The Game: Inside Line,PS3,2012.0,Racing,,,Activision  ,Eutechnyx  ,0.07,,,0.02,0.09
14714,Tunnel B1,PS,1996.0,Shooter,,,Acclaim Entertainment  ,Neon  ,0.05,0.03,,0.01,0.09
14715,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005.0,Platform,,,Activision  ,Digital Eclipse  ,0.06,0.02,,0.0,0.09
14716,Scooby-Doo! Unmasked,DS,2005.0,Platform,,,THQ  ,Artificial Mind and Movement  ,0.07,0.01,,0.01,0.09
14717,Porsche Challenge,PS,1997.0,Racing,,,Sony Computer Entertainment  ,SCEE London Studio  ,0.05,0.03,,0.01,0.09
14718,Dragon Ball Z: Shin Butouden,SAT,1995.0,Fighting,,,Bandai  ,Bandai  ,,,0.09,0.0,0.09
14719,Super Robot Taisen MX Portable,PSP,2005.0,Strategy,,,Banpresto  ,Banpresto  ,,,0.09,,0.09
14720,Detana TwinBee Yahho! Deluxe Pack,PS,1995.0,Shooter,,,Konami  ,Konami  ,,,0.08,0.01,0.09
14721,Beyblade Burst,3DS,2016.0,Role-Playing,,,FuRyu Corporation  ,FuRyu  ,,,0.09,,0.09
14722,New Class of Heroes Mono: Toki no Gakuen,PSP,2012.0,Role-Playing,,,Acquire  ,ZeroDiv  ,,,0.09,,0.09
14723,Space Chimps,Wii,2008.0,Platform,,,Brash Entertainment  ,Red Tribe  ,0.08,0.0,,0.01,0.09
14724,Uta no?Prince-sama? MUSIC 2,PSP,2013.0,Music,,,Broccoli  ,Nippon Ichi Software  ,,,0.09,,0.09
14725,Sega Casino,DS,2005.0,Misc,,,Sega  ,TOSE  ,0.08,0.0,,0.01,0.09
14726,"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007.0,Role-Playing,,,D3 Publisher  ,D3 Publisher  ,,,0.09,,0.09
14727,World Championship Games: A Track & Field Event,DS,2009.0,Sports,,,Game Factory  ,Code Monkeys  ,0.08,,,0.01,0.09
14728,Bleach: Heat the Soul 6,PSP,2009.0,Fighting,,,Sony Computer Entertainment  ,Eighting  ,,,0.09,,0.09
14729,Justice League Heroes,DS,2006.0,Role-Playing,,,Warner Bros. Interactive  ,Sensory Sweep  ,0.08,0.0,,0.01,0.09
14730,Fishing Master World Tour,Wii,2009.0,Sports,,,Hudson Entertainment  ,Hudson Soft  ,0.08,,,0.01,0.09
14731,Scrabble,PSP,2009.0,Misc,,,Electronic Arts  ,Stainless Games  ,0.08,,,0.01,0.09
14732,Soul Nomad & the World Eaters (JP sales),PS2,2007.0,Role-Playing,,,NIS America  ,Nippon Ichi Software  ,,,0.09,,0.09
14733,Damnation,PS3,2009.0,Shooter,3.6,,Codemasters  ,Blue Omega Entertainment  ,0.07,0.01,,0.01,0.09
14734,Paragon,PS4,2016.0,Action,,,Sony Interactive Entertainment  ,Epic Games  ,0.07,,,0.02,0.09
14735,Borderlands 2 VR,PS4,2018.0,Shooter,,,2K Games  ,Gearbox Software  ,0.07,,,0.02,0.09
14736,Deadliest Catch: Sea of Chaos,X360,2010.0,Sports,,,Crave Entertainment  ,Double Tap  ,0.08,,,0.01,0.09
14737,Zoids Assault,X360,2008.0,Strategy,5.2,,Atlus  ,Atlus Co.  ,0.08,,,0.01,0.09
14738,Mystic Heroes,GC,2002.0,Action,6.8,,KOEI  ,Koei  ,0.03,0.01,0.04,0.0,0.09
14739,Dragon Quest Heroes I & II for Nintendo Switch,NS,2017.0,Role-Playing,,,Square Enix  ,Omega Force  ,,,0.09,,0.09
14740,Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007.0,Misc,,,Hackberry  ,Hack Berry  ,,,0.09,,0.09
14741,GRID: Autosport,X360,2014.0,Racing,,,Codemasters  ,Codemasters  ,0.03,0.05,,0.01,0.09
14742,Defender,XB,2002.0,Shooter,,,Midway Games  ,7 Studios  ,0.07,0.02,,0.0,0.09
14743,Dora's Big Birthday Adventure,DS,2010.0,Misc,,,2K Play  ,"Black Lantern Studios, Inc.  ",0.08,0.01,,0.01,0.09
14744,FIFA Street 3,DS,2008.0,Sports,,,EA Sports BIG   ,EA Canada  ,0.06,0.02,,0.01,0.09
14745,Train Sim World,PS4,2018.0,Simulation,,,Maximum Games  ,Dovetail Games  ,0.05,0.03,,0.02,0.09
14746,Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002.0,Sports,,,Konami  ,Konami  ,,,0.08,0.01,0.09
14747,Blood: The Last Vampire (Joukan),PS2,2000.0,Adventure,,,Sony Computer Entertainment  ,Sugar & Rockets  ,,,0.09,,0.09
14748,Cake Mania: Main Street,DS,2011.0,Simulation,,,Majesco  ,Sandlot Games  ,0.08,,,0.01,0.09
14749,Pillow Pets,DS,2011.0,Adventure,,,GameMill  ,GameMill Publishing  ,0.08,,,0.01,0.09
14750,Clockwork Knight,SAT,1995.0,Platform,,,Sega  ,Sega-AM7  ,,,0.09,0.0,0.09
14751,Viewtiful Joe: Red Hot Rumble,PSP,2006.0,Action,,,Capcom  ,Clover Studio  ,0.08,0.0,,0.01,0.09
14752,Ratchet & Clank Future: Quest for Booty,PSN,2008.0,Platform,7.7,8.7,Sony Computer Entertainment  ,Insomniac Games  ,0.01,0.06,,0.02,0.09
14753,Freestyle Metal X,PS2,2003.0,Racing,,,Midway Games  ,Deibus Studios  ,0.04,0.03,,0.01,0.09
14754,Karaoke Revolution Presents American Idol Encore 2,X360,2008.0,Misc,,,Konami  ,Blitz Games  ,0.08,,,0.01,0.09
14755,Heroes of the Lance,All,1988.0,Action-Adventure,,,Strategic Simulations  ,U.S. Gold  ,,,,,
14756,Pipe Mania,DS,2008.0,Puzzle,,,Empire Interactive  ,Razorworks Studios  ,0.08,0.01,,0.01,0.09
14757,Sidewinder Max,PS2,2000.0,Simulation,,,Asmik Ace Entertainment  ,Asmik Ace Entertainment  ,,,0.09,,0.09
14758,Kenka Banchou 2: Full Throttle,PS2,2007.0,Action,,,Spike  ,YSK  ,,,0.09,,0.09
14759,Mahjong Cub3D,3DS,2011.0,Puzzle,6.9,,Atlus  ,SunSoft  ,0.07,,0.02,0.01,0.09
14760,Summon Night 6: Lost Borders,PS4,2017.0,Role-Playing,,,Gaijinworks  ,Media.Vision  ,0.03,,0.05,0.01,0.09
14761,Dark Angel: Vampire Apocalypse,PS2,2001.0,Role-Playing,4.6,,Metro 3D  ,Metro3D  ,0.04,0.03,,0.01,0.09
14762,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010.0,Misc,,,Hudson Soft  ,IE Institute  ,,,0.09,,0.09
14763,Pro Evolution Soccer 2018,PS3,2017.0,Sports,,,Konami Digital Entertainment  ,Konami Digital Entertainment  ,0.01,0.04,0.03,0.01,0.09
14764,Star Wars: Empire at War - Gold Pack,PC,2007.0,Strategy,,,LucasArts  ,Petroglyph Games  ,0.01,0.07,,0.01,0.09
14765,Family GameShow,Wii,2010.0,Misc,,,Storm City Games  ,Zushi Games Ltd  ,0.08,0.0,,0.01,0.09
14766,Life Is Strange: Before the Storm,XOne,2018.0,Adventure,,2.7,Square Enix  ,Deck Nine  ,0.07,0.0,,0.01,0.09
14767,Dark Rose Valkyrie,PS4,2017.0,Role-Playing,,,Idea Factory International  ,Compile Heart  ,0.04,,0.04,0.01,0.09
14768,Atelier Totori: The Adventurer of Arland,PSV,2012.0,Role-Playing,,,Gust  ,Gust  ,,,0.09,,0.09
14769,No More Heroes: Red Zone,PS3,2011.0,Action,,,Marvelous Interactive  ,FeelPlus  ,,,0.09,,0.09
14770,Remington Super Slam Hunting: Alaska,Wii,2011.0,Sports,,,Mastiff  ,Mastiff  ,0.08,,,0.01,0.09
14771,Supreme Commander,X360,2008.0,Strategy,5.7,,Aspyr  ,Gas Powered Games  ,0.07,0.01,,0.01,0.09
14772,Super Puzzle Fighter II,GBA,2003.0,Puzzle,,,Capcom  ,Atomic Planet Entertainment  ,0.06,0.02,,0.0,0.09
14773,BlazBlue: Continuum Shift EXTEND,PS3,2012.0,Fighting,,,Aksys Games  ,Arc System Works  ,,0.0,0.09,0.0,0.09
14774,Petz: Saddle Club,PSP,2009.0,Simulation,,,Ubisoft  ,Digital Kids  ,0.08,,,0.01,0.09
14775,Rock Band Country Track Pack 2,Wii,2011.0,Misc,,,MTV Games  ,Harmonix Music Systems  ,0.08,,,0.01,0.09
14776,Knights in the Nightmare,PSP,2010.0,Role-Playing,8.0,,Atlus  ,Sting  ,0.06,,0.02,0.01,0.09
14777,Battle Stadium D.O.N,GC,2006.0,Fighting,,,Namco Bandai  ,Eighting  ,,,0.09,0.0,0.09
14778,Red Bull BC One,DS,2008.0,Misc,,,Ignition Entertainment  ,Playlogic Game Factory  ,0.08,,,0.01,0.09
14779,Karaoke Revolution Presents American Idol Encore,PS3,2008.0,Misc,,,Konami  ,Blitz Games  ,0.08,,,0.01,0.09
14780,Just Dance: Disney Party 2,WiiU,2015.0,Music,,,Ubisoft  ,Ubisoft San Francisco  ,0.07,0.01,,0.01,0.09
14781,The Wolf Among Us,XOne,2014.0,Adventure,,,Telltale Games  ,Telltale Games  ,0.06,0.02,,0.01,0.09
14782,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010.0,Action,,,Namco Bandai  ,Bandai Namco Games  ,,,0.09,,0.09
14783,Kurikin: Nano Island Story,DS,2007.0,Role-Playing,,,Nintendo  ,Media Kite  ,,,0.09,,0.09
14784,Grand Theft Auto: Episodes from Liberty City,PC,2010.0,Action,,,Rockstar Games  ,Rockstar North  ,,0.08,,0.01,0.09
14785,Transworld Snowboarding,XB,2002.0,Sports,,,Atari  ,Housemarque  ,0.07,0.02,,0.0,0.09
14786,NFL Blitz 20-02,GC,2002.0,Sports,,,Midway Games  ,Point of View  ,0.07,0.02,,0.0,0.09
14787,R-Type Command,PSP,2008.0,Strategy,,,Atlus  ,Irem Software Engineering  ,0.07,0.0,0.01,0.02,0.09
14788,Sniper Elite,XB,2005.0,Shooter,,,Namco  ,Rebellion Developments  ,0.07,0.02,,0.0,0.09
14789,World Soccer Winning Eleven 8 International,XB,2005.0,Sports,,,Konami  ,Konami Computer Entertainment Tokyo  ,0.07,0.02,,0.0,0.09
