Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Final Fantasy XV,PS4,2016,Role-Playing,8.1,Square Enix  ,Square Enix  ,1.81,1.53,1.05,0.68,5.069999999999999
Fallout 4,XOne,2015,Role-Playing,8.4,Bethesda Softworks  ,Bethesda Game Studios  ,2.94,1.62,0.02,0.45,5.03
Tony Hawk's Pro Skater,PS,1999,Sports,9.6,Activision  ,Neversoft Entertainment  ,3.42,1.38,0.02,0.2,5.02
Gears of War,X360,2006,Shooter,9.4,Microsoft Game Studios  ,Epic Games  ,3.54,1.88,0.07,0.6,6.09
Gears of War 2,X360,2008,Shooter,9.4,Microsoft Game Studios  ,Epic Games  ,4.15,1.91,0.06,0.64,6.76
Halo 5: Guardians,XOne,2015,Shooter,8.6,Microsoft Studios  ,343 Industries  ,2.94,1.49,0.03,0.45,4.91
Halo: Combat Evolved,XB,2001,Shooter,9.5,Microsoft  ,Bungie Studios  ,4.98,1.3,0.08,0.07,6.430000000000001
Guitar Hero III: Legends of Rock,PS2,2007,Misc,8.2,RedOctane  ,BudCat Creations  ,3.49,0.01,0.01,1.48,4.99
Uncharted: Drake's Fortune,PS3,2007,Action,8.7,Sony Computer Entertainment  ,Naughty Dog  ,2.32,1.73,0.12,0.8,4.97
Resident Evil 2,PS,1998,Action,9.3,Capcom  ,Capcom  ,1.88,1.47,2.02,0.45,5.819999999999999
Fallout 3,X360,2008,Role-Playing,9.0,Bethesda Softworks  ,Bethesda Game Studios  ,3.41,0.99,0.09,0.46,4.95
Splatoon,WiiU,2015,Shooter,8.4,Nintendo  ,Nintendo EAD  ,1.58,1.3,1.56,0.27,4.709999999999999
Madden NFL 06,PS2,2005,Sports,9.1,EA Sports  ,EA Tiburon  ,3.98,0.26,0.01,0.66,4.91
Dragon Quest VIII: Journey of the Cursed King,PS2,2005,Role-Playing,8.6,Square Enix  ,Level 5 / Armor Project  ,0.65,0.75,3.61,0.2,5.21
Diddy Kong Racing,N64,1997,Racing,8.3,Nintendo  ,Rare Ltd.  ,2.91,0.99,0.89,0.1,4.89
Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,2008,Role-Playing,6.4,Nintendo  ,ChunSoft  ,1.83,1.19,1.54,0.37,4.930000000000001
Spyro the Dragon,PS,1998,Platform,8.7,Sony Computer Entertainment  ,Insomniac Games  ,3.36,1.36,0.07,0.21,5.0
Assassin's Creed,PS3,2007,Action,8.2,Ubisoft  ,Ubisoft Montreal  ,1.91,2.01,0.09,0.82,4.83
Crash Team Racing,PS,1999,Racing,9.2,Sony Computer Entertainment  ,Naughty Dog  ,2.57,1.57,0.44,0.21,4.79
The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,9.1,Nintendo  ,Nintendo EAD  ,1.85,1.8,0.95,0.48,5.08
Batman: Arkham City,X360,2011,Action,9.5,Warner Bros. Interactive  ,Rocksteady Studios  ,2.99,1.28,0.04,0.44,4.750000000000001
Driver 2,PS,2000,Action,7.0,Atari  ,Reflections Interactive  ,2.36,2.1,0.02,0.25,4.7299999999999995
Tony Hawk's Pro Skater 2,PS,2000,Sports,9.3,Activision  ,Neversoft Entertainment  ,3.05,1.41,0.02,0.2,4.68
Nintendogs + cats,3DS,2011,Simulation,7.2,Nintendo  ,Nintendo EAD  ,1.44,1.69,0.73,0.29,4.1499999999999995
Gran Turismo,PSP,2009,Racing,7.7,Sony Computer Entertainment  ,Polyphony Digital  ,0.43,1.4,0.31,0.78,2.92
The Lord of the Rings: The Two Towers,PS2,2002,Action,8.3,Electronic Arts  ,Stormfront Studios  ,1.94,1.95,0.08,0.7,4.67
Tomb Raider,PS,1996,Action,8.9,Eidos Interactive  ,Core Design Ltd.  ,2.29,1.97,0.13,0.24,4.63
God of War,PS2,2005,Action,9.3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,2.71,1.29,0.02,0.43,4.449999999999999
The Legend of Zelda: A Link to the Past,SNES,1992,Adventure,10.0,Nintendo  ,Nintendo EAD  ,2.42,0.91,1.15,0.13,4.61
Forza Motorsport 4,X360,2011,Racing,9.1,Microsoft Studios  ,Turn 10 Studio  ,2.08,1.98,0.06,0.49,4.61
Guitar Hero III: Legends of Rock,Wii,2007,Misc,8.6,RedOctane  ,Vicarious Visions  ,3.04,1.12,0.0,0.44,4.6000000000000005
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,9.1,Nintendo  ,AlphaDream Corporation  ,2.23,0.47,0.81,0.27,3.7800000000000002
FIFA 15,PS3,2014,Sports,6.9,EA Sports  ,EA Canada  ,0.59,3.25,0.04,0.68,4.56
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,6.8,Sega  ,Sega  ,1.87,1.97,0.22,0.48,4.539999999999999
Overwatch,PS4,2016,Shooter,8.8,Blizzard Entertainment  ,Blizzard Entertainment  ,1.84,1.8,0.17,0.73,4.54
Madden NFL 2005,PS2,2004,Sports,9.5,EA Sports  ,EA Tiburon  ,4.18,0.26,0.01,0.08,4.529999999999999
Guitar Hero III: Legends of Rock,X360,2007,Misc,8.7,RedOctane  ,Neversoft  ,3.19,0.91,0.01,0.42,4.529999999999999
LittleBigPlanet,PS3,2008,Platform,9.4,Sony Computer Entertainment  ,Media Molecule  ,2.8,2.01,0.17,0.87,5.85
